Anime,Text,Sentiment
Укрытие / Hideout,"Даже по меркам чтива а-ля ""до конца рабочего дня час, чем бы заняться"", оценка ""очень плохо"" - 2, если в числовом эквиваленте. было скучно, даже хуже, чем скучно. ""Укрытие"" - 9 глав непотребства. В силу содержания мангу не советую никому",0
Похороны Короля Роз / Baraou no Souretsu,"Есть конечно в ""Реквиеме Короля Роз"" некоторые ""шероховатости"", но всё же картина довольно сильно недооценена.Начну с того, что сам факт, что кто-то прочитав пьесу Шекспира ""Ричард ІІІ"" смог так необычно раскрутить историю, добавив перчинки запретной любви, не потеряв основных событий Войны Красной и Белой розы, вызывает у меня уважение.Аниме ""Реквием Короля Роз"" это тот случай, когда можно троллить непосвящённых в аниме людей самим его наличием. Когда зайдёт речь об экранизациях Шекспира, насмотренный анимешник теперь смело сможет сказать, что есть аниме версия этой пьесы, но там Ричард ІІІ влюблён в Генриха VI, а после его смерти в лорда Бекингема (необязательноЧто уже говорить о любовном треугольнике с Эдуардом Вестминстерским (Ланкастерским), сыном Генриха VI ( ~*-*)~. А и да, напомню, что момент смерти в Тауэре Генриху VI было 48, а его сыну и Ричарду III по 17 лет). Уже схожий случай у меня был с аниме ""Шерлок из Кабуки-тё"" (также дерзкая, но и смелая интерпретация классики)Не смотря, на всё моё уважение и восторг от смелости идей, я не могу сказать, что сёнен-ай элементы были органичны во всех елементах сериала, местами они несколько выбивались из общего контекста. Местами количество домыслов и додумок перегибает палку, а местами сюжет сильнее нужного отклоняется в сторону ""перчинки"" (хотя тут на вкус и цвет...)Но всё-таки, создателям удалось уместить все 30 лет войны в 24 эпизода, сохранив основные события и подвязав их между собой своими сюжетными нитями, завязанными на Ричарде ІІІ, добавив его персонажу фатализма, неоднозначности и внутреннего конфликта. Да, сюжет немного провисает  и буксует в нескольких эпизодах, а в других сильно спешит, но общая канва остаётся цельной. (спорный финалЯ лично не сильно оценил финал истории, а именно последние 5 минут, когда всё развернулось в любовь к самому себе, но даже подобный поворот не убивает всю историю)Что касается персонажей, то они остались по-шекспировски хороши, достаточно проработаны и интересны, а путь развития Ричарда ІІІ, как с учебника по драматургии, за 24 эпизода персонаж растёт, низвергается в Ад, принимает судьбу и завершает свой путь. Персонажи одна из сильнейших сторон всего сериала.Также интересным наблюдением для меня стало наличие многих омажей или отсылок к другим произведениям Шекспира. Тут и смуглый Кейнсби, а-ля Отелло; и любовь Генриха и Ричарда, а-ля Ромео и Джульетта; и под ковёрные игры в стиле Макбета; и призрак Ричарда Плантагенета, а-ля призрак отца Гамлета; ну и куда уж без любимой японцами Жанны Д'Арк) Подобные мелкие элементы сильно доставляют и показывают, что историю на отвали никто не писал, а со всей серьёзностью подошли к делу.  Мне лично ещё бы хотелось, чтобы в дополнение к шекспировской высокопарности и романтизму, авторы сымитировали, хотя бы в нескольких эпизодах, его стихотворный стиль, но и так получилось достаточно стильно и атмосферно.Кстати о стиле, ещё одна достаточно сильная сторона сериала. В нём присутствуют достаточно много интересных визуальных решений, переполненных символизмом и пафосом. Сериал тёмный и яркий, когда нужно, рисовка и дизайн персонажей приятны, а общий визуальный стиль гармоничный и самобытен. Анимация немного подкачала, но думаю при доступном бюджете, требовать большего было бы неуместно. Музыкальная сторона держит марку и не тянет сериал в низ, но я не могу назвать её сильнейшим элементом, достойным отдельного внимания. Хорошо, но не более.Подводя итог, важным будет упомянуть, что ""шероховатости"" сериала в сюжете и технической стороне вряд ли способны на столько сильно оттолкнуть потенциального зрителя. В первую очередь, каждый должен для себя решить готов ли он смотреть на подобное переосмысление, готов ли он получать кайф от смеси Шекспира и классических японских сёдзё с сюжетом однополой любви. Если вам какая-то из основ Короля Роз не по душе, то лучше не мучать себя и не занижать оценку, а пройти мимо в поисках того самого. От меня крепкие 7,5/10",1
Чудачества любви не помеха! / Chuunibyou demo Koi ga Shitai!,"Эм, сложно оценить данный тайтл. Первые серий 5 очень нудные. Заставлял себя смотреть их а потом забросил и переключился на другие аниме. Когда уже не смог придумать что бы еще посмотреть -решил досмотреть это аниме. Дальше стало немного интереснее да и романтика тут милая, хотя сюжет поразительно тупой.... вобщем, поставил бы 0/10, но за романтику балов на 6-7/10потянет.",0
Хана и Алиса: Дело об убийстве / Hana to Alice: Satsujin Jiken,"Это мне напомнило детективы серии ""Чёрный котёнок"": такие же несуразные, смешные и про подростков с мозгами ""чуть выше среднего"", которые как-то умудряются быть детективами и решают дела везением хд Как и там я до всего догадалась сразу как всё появилось в кадре. То ли после Конана скил высок, то ли просто это тупость как легко. хддд спойлерО это чудесное враньё про ушедшего из семьи отца! Сколько раз я его видела в этих романах! О эта прекрасная ситуация ""мы далеко от дома и не успели на трамвай, потому изгаляемся с ночёвкой"" Серьёзно, вот каждый сюжетный ход как в любой из этих книженций. Даже ситуация с ""человеком под грузовиком"" хддд Только с японской спецификой. Особенно понравились школьные драки и ""пластика"" персонажей. хдд Но с эмоциональной стороны крепко. А стрёмное 3d даёт возможность делать красивые ракурсы, человечные заламывания рук, тянущиеся носочки при ходьбе, прыжки и падения и не заморачиваться с графикой))) Особенно мне понравилось падение с лестницы и вся сцена развязки. хдд Это очень красивые и важные детальки для движения персонажей. Похоже весь фильм сделан ротоскопией вперемешку с 3d. И это всё и вытягивает картинку и делает её живой, при общей мёртвости. Ха-ха. Замыленные задники из фотографий и проседающий fps - это фу даже в 2003 году было, а это из 2015-го родом!Мне всегда было интересно, нельзя ли писать что-то сложней для подростковых детективов?! Но как-то не находила лучше, чем Приключения Ширли Холмс. И кстати, дела там запутанней вот этого и интересней. Так что если ищите хороший подростковый детектив, лучше посмотрити Ширли Холмс, чем это. Сериал про Ширли доказал мне, что расследования бывают интересными и остросюжетными и без убийств, бандюков с огнестрелом и подросткового слезомойства на почве недопониманий, неразделённой любви и школьной травли.",0
Принцесса-медуза / Kuragehime,"Бриллиант! Дзёсей - нет, нет, да выдавит из себя хороший сюжет, Brains Base - сильная студия, которая могёт в разных жанрах, опытный режиссер и, что еще важней, крутейший анимационный блок Noitamina, который в принципе не выдаёт плохое аниме, стараясь концентрироваться на серьёзных интересных, но взрослых произведениях.В результате - чистый восторг, отличная вещь и прочие хвалебные эпитеты.Не понравился только - запредельный идиотизм старшего брата.",1
Атака титанов 2 / Shingeki no Kyojin Season 2,"Как по мне сезон хороший выдался, учитывая что запихнули всего в 12 серий, много экшена, быстрое развитие сюжета, персонажи как всегда топ, рисовка просто ван лав, музыкальная составляющая тоже зашла, просмотрел все на одном дыхании за вечер и нет никаких осадков или отрицательных эмоций, одни только положительные. 9/10 и не баллом меньше! В целом смотреть всем, сезон точно не разочарует.P.S. Опенинг отдельно зашел)",1
Байонетта: Кровавая судьба / Bayonetta: Bloody Fate,"Очередной тайтл по игре, который нафиг никому не уперся без игры, а тем, кто играл, полагаю, скорее вызвал баттхерт, а не наслаждение. А все почему? Да потому что отдельно от игры - аниме просто набор сцен без какой-либо вменяемой связи и общей истории. Не, сюжет-то там есть, конечно, но...Показано все уж очень стремно.Какого-либо эстетического удовольствия - тоже получено не было. Потому как и чардиз такой мне не заходит (с огроподобными бабами), да и бои весьма никакие. Музыкой годной - тоже забыли снабдить фильмец.В общем, вышло то, что вышло - убогий полуторачасовой рекламный ролик. Хотя, называть это рекламным роликом - оскорблять минутные трейлеры, в которых если и не сюжет, то, хотя бы, пару экшн-моментов красочных покажут.",0
Судьба/Ночь схватки / Fate/stay night,"Не понимаю откуда у этого аниме такая высокая оценка. Объективно это худшая экранизация оригинальной визуальной новеллы Fate.Ни в коем случае не начинайте знакомство с франшизой по этому тайтлу(как это сделал я) Студия Дин просто взяла за основу первую(и без того не очень) арку и понапихала туда спойлеров из других глав по типуКудзуки мастер и Сакура связана с Гралем. Анимация конечно приятная(скорее из-за настольгии), а бои у студии Дин как обычно дерьмо. Итог худшая адаптация Fate. К просмотру рекомендуется только в том случае если вы уже изрядно подсели на вселенную.",0
Садистская смесь / Blend S,"Долго думала, что этот тайтл - какая-нибудь очередная кровавая приключенческая ерунда, а стоило загуглить - оказалась романтическая повседневная комедия! Ну ОК, надо посмотреть.Сюжет довольно многослойный и интересный, так как не знаешь, что персонажам придёт в голову в следующей серии. Хорошо начали, хорошо закончили. Персонажи забавные,  и раскрытыепонравились абсолютно все, в начале даже не могла решить, кто нравится больше, но постепенно картинка становилась более чёткой и персонажи поделились на два типа:Просто хорошие персонажи, которым чуть-чуть не хватило до того,чтобы завоевать моё сердечко: к этому типу относятся большинство  главных персонажей: Няша-садистка Майка, генки-цундере Кахо, обворожительный красавчик Дино и Кун-куцундере КоёТопчик вайфу, которые полюбились практически сразу: Лоля-кудэрэ Мафую, Мангака с секретом Миу и разумеется, стильный трап Хидэри.Музыка и рисовка просто мимимишные, понравились практически сразу. Шутки выше среднего, романтика чувствовалась. Сначала поставила 10-ку, затем 9-ку, потом 8-ку, но в итоге решила ставить 9-ку. Объясню,почему не 10-ка Три пары - и все не канон! и я не только о Майка/Дино и Кахо/Коё. Я о Миу/Хидэри! Посмотреть можно.",1
Тёмный дворецкий: Глава о цирке / Kuroshitsuji: Book of Circus,"В общем я наконец добрался до главы о цирке, и сразу был охвачен ностальгией, потому что ТД - одно из первых аниме, которое я начал смотреть, осознанно увлекшись этим всем, а именно лет семь назад. Что сказать, захотелось пересмотреть оба предыдущих сезона Что касается именно этого тайтла, должен сказать, история получилась хорошая. В том смысле, что логика выдержана (за что от меня всегда отдельная похвала), герои себе не изменили, динамика присутствует, и на уровне сценария заложена интересная идея. Чувства в конце остались противоречивые. Серьезно, я вот никак не могу понять, нравится мне Сиель или нет. Но это, думаю, отдельная тема для разговора Больше, чем главным героям, радовался Греллю и Гробовщику, последний порадовал напутственной фразой в самом конце относительно души Сиеля. Ии если говорить о героях, то нельзя не упомянуть Снейка, потому что его манера цитировать змей - это... слишком милоОдним словом, прекрасная история, да еще и с продолжением в главе об убийстве  Ставлю 9",1
Летнее время / Summertime Render,"Катастрофическое фиаско, для любого произведения искусства, это когда оно не вызывает совершенно никаких эмоций. Здесь же, я смотрела не отрываясь, сидя на кровати и обнимая подушку между ног, испытывая бурю различных эмоций. Уплела большую пачку чипсов и рожок ванильного мороженного, для меня, за раз, это весьма много. Переживала, огорчались, радовалась, пугалась, слёзку пустила, другими словами получила чувство большого удовлетворения от простора. В судьбе всякого уважающего себя мужчины обязательно должно быть что-то светлое, яркое, заметное, фееричное, например, блондинка. Блондинки рулят 😜",1
Эксперименты Лэйн / Serial Experiments Lain,"Странное... только вот странное не восприятием, а подачей.Все 13 серий, можно уместить максимум в часовом фильме, т.к большую часть времени происходит ""абсолютное ничего"", ни коем образом не влияющее на сюжет. Персонажи скучные, не раскрытые, эффект ""загадочности"" в этом плане лишний, т.к все что происходит с ними в редких случаях, не вызывает вообще никаких эмоций.Вспомнить хотя бы Мадоку или Цикад, ""неведомая хня"" за которой, так или иначе, интересно наблюдать. И чем дальше, тем интерес выше.Идея интересная, сценарий лютый трешак.Если вы, как и я, гоняетесь за эмоциями и интересными историями, зря потратите время, их тут нет. Можно посмотреть чисто для галочки.",0
Мириады цветов фантомного мира / Musaigen no Phantom World,"Я всё понимаю, но #### взять и начать сюжет в конце последней серии сезона, это надо же так уметь. На протяжении всего тайтла мы о сюжете услышим лишь в первой серии, а потом он даст о себе знать в конце последней серии. Это просто гениально. Сюжет можно сказать был на 1-3 минуты. А там можно взять и сказать повседневность с элементами фантастики. Ну можно же было и дальше развивать сюжетную линию, можно было бы начать какую нибудь битву между этой командой и але(Ля, забыл название этой компании, ну вот надо же было им придумать такое название). Эх, ладно. Не получили мы сюжета полноценного ну и ладно. Аниме пойдёт. Я не знаю за что можно похвалить. Рисовка, да к ней как то уже привык. Когда просмотрел более 360 тайтлов, уже не замечаешь чего то экстра-нового в рисовке. Да красивая, но она обычная. Типы персонажей, про гг сказать ничего не могу. А вот про тянок могу, блондинка стандартная цундерка, розово волосая тихоня, но так же втрескалась в гг, черно волосая стесняша, которая чуть чё опрокинет через бедро, попутно сломав стену или же землю, ну и лолька, как же в аниму да без лолек. Удивительно почему трапов не завезли. В аниме меня обрадовал ост, так же немного интересной научной информации, пусть и школьного уровня, ну и феечка, вот фея была класной.Итог:Смотреть можно, но не ожидайте многого. Сядьте да посмотрите, не надо за один день. Можете скачать и посмотреть за неделю. Тут нету ощущения мол на одном дыхании. Посмотрел пару серий и хватит. Однако если вам нехрен заняться перед егэ(Как мне), то можете смотреть за один день. Как раз новогодние каникулы.",0
"Убивая слизней триста лет, сама того не заметив, я достигла максимального уровня / Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita","Самый обычный исекай. Ничего крутого, и не сказал бы что очень уж и плохо. Все таки рисовка приятна на глаз, девочки милые. Да и честно говоря при просмотре, хотя бы, нет чувства того что ешь бессюжетное дерьмо. Авторам всё-таки не было #####. Недавно вроде за-анонсили второй сезон. Думаю с малой, но радостью посмотрю. Прекрасно под него работать или просто чиллить и пить чаёк.",1
Военная хроника маленькой девочки / Youjo Senki,"Лучший представитель из исекайного жанраНедавно пересмотрела 13 раз и решила написать развёрнутый отзыв на этот, не постесняюсь сказать шедевр.Сюжет: хорош, но есть недочёты которые не мешают просмотру, но порой настораживала очень быстрая смена событий, в сравнении с ранобэ, особенно это ярко выраженно в арке Аренской резни, где так и не обьяснили план командования, приведённый в действие и показали целую главу, так и не раскрыв её полностью за 1 серию. Больше я не нашла к чему придраться в этом пункте.Персонажи: в аниме главный упор делается на главного героя, которого отлично раскрыли, но на остальных персонажей решили скажем так забить и не уделяли им внимания вовсе, хотя опять же, если нарисовать одну сцену с размышлениями Реругена о Тане, которая не займет больше минуты, можно было бы раскрыть не только Реругена, но и Таню к тому же. Про второстепенных сказать нечего, в аниме они нужны для создания фона и так иронично сложилось, что остальных из 203 батальона раскрыли лучше в исекайном квартете, чем в их собственном аниме. Поэтому я могу понять придирку что персонажи в аниме картонные, но в манге и ранобэ эта придирка уже не работает. Также Существо Икс в аниме показано ну просто никаким, обычному зрителю, не читавшему ранобэ будет тяжело понять логику его действий, аля '""Я бог ты мне не нравишься вот тебе наказание'"".Рисовка и анимация: Ну если учитывать что это первая работа студии, то справились они хорошо, 3д в боях незаметен, да и сами бои хороши, единственный серьёзный минус - рисовка Серебряковой, думаю мне не нужно объяснять почему, вы и сами все видите.Музыка: Myth & Roid, Аой Юки и композиторы постарались на славу, опенинг и эндинг слушаю уже 4 года, до сих пор не надоедает, осты великолепны.Смелое 10 из 10, не всем зайдет, но если вы любите необычные исекаи, разумных главных героев, военную тематику то смело смотрите, тут это все есть.",1
Кэйджо!!!!!!!! / Keijo!!!!!!!!,"Есть произведения, которые завышают о себе ожидания в начале и нифига не вывозят их. И оно как бы может быть даже неплохим, но замахивалось то оно на шедевр, а вышло чуток выше среднего, и ты такой разочаровываешься и ставишь ему неуд. А есть произведения, которые наоборот занижают ожидания, и в итоге давая тебе тот же чуток выше среднего они тебя приятно удивляют, и ты смело и без раздумий ставишь им отлично. И Кейджо как раз из вторых. Вот читаешь ты такой описание, смотришь на жанры, видишь первую сцену с описанием мира, и думаешь: ""Какую же я щас хрень смотреть буду"". Но вместо этого ты получаешь такой стандартный, но вполне неплохой спокон, в котором есть все фишки жанра. При этом все очень даже хорошо нарисовано и санимированно, и юмор, хоть и немного своеобразный, есть, и отсылок тонна (ласт битва вообще просто заливает ими, от прямой перерисовки постера титанов, где вместо титана жопа, до чисто простых фразочек), да и сама атмосфера, когда тебе подают что-то настолько абсурдное на таких серьезных щах, меня очень веселит. Ну а про этти и фансервис даже говорить не буду, много, хорошо и привлекательно. Ну и определенным плюсом (по крайней мере для меня) является концовка, которая хоть и открытая, но КОНЦОВКА. Но минусы конечно тоже есть. Кому-то может не понравится, что, все же, здесь есть фактически супер-способности и авторы даже особо не пытаются это маскировать, как например в баскетболе Куроко, хотя для меня это не проблема. Так же, тайтл не вытягивает 4 главных героинь, раскрыты они слабовато. Вот реально, оставили первую парочку основной и получилось получше. В итоге, оценивая объективно, это крепкая такая 7.5, но за такое приятное удивление запросто накину бал, итого 8.5, округляем по правилам до 9.",1
"Не моя вина, что я не популярна! / Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!","Сколько критики... По мне, так сериал тем и хорош, что улыбка на лице внезапно сменяется грустью после осознания трагичности ситуации... и наоборот. Хороший контраст смешного и грустного. А Томоко няшка по-моему. Хоть ей чертовски сложно, она изо всех сил старается завести друзей. Пускай её методы, взгляды, поведение не вызывают одобрения, зато всё это реалистично. Или все могут, положа руку на сердце, сказать, что являются божьим одуваном? Пора бы встряхнуться от тонн невинных кавайных тян, у которых всё чудесным образом получается, и хоть разок вспомнить какова реальность на самом деле. Аниме про хикикомори, а хикикомори это очень грустно, как ни крути. Очень похвально, что смогли сдобрить юмором, не потеряв при этом реалистичности. Только тапки всё равно летят. Где все те, кто любит говорить ""пфф, так не бывает"", м? Вот оно - то, что реально бывает. Получите и распишитесь. Не нравится - дуйте дальше смотреть сериалы, где всегда всё хорошо.",1
Волшебник-воин Орфен / Majutsushi Orphen Hagure Tabi,"Почти все серии посмотрел с ""фэйспалмом"", и я искренне удивляюсь как ещё не поумирали 100500 раз основные герои этого аниме, в течении всего сезона их сопровождала просто космическая удача, ГГ конечно разочаровал сильно, он вроде сильный и в тоже время нет, похож на бешеного пса которым вертеть можно как угодно только немножко разозлив и просто до ужаса наивен(опять же как он ещё жив), антагонисты в основном полные идиоты скорее всего из-за жанра ""приключение"" и ""экшен"", может ещё и возрастной рейтинг сыграл свою роль, не знаю.Эээх а я так надеялся, начиналось все вроде неплохо...",1
Стальной алхимик / Fullmetal Alchemist,"Всё ещё better than TV-2Вообще создаётся впечатление, что за ТВ-2 цепляются в основном какие-то дети, ведь ТВ-1 лучше, и лучше объективно.Да, он отошёл от манги, да, концовка не очень — принуждают смотреть фильм. Однако ТВ-1 банально ""глубже"", причём глубже во всех отношениях.Персонажи раскрыты лучше — Мустанг показан живым человеком, перед глазами которого спойлердействительно всплывают ужасы войны. Он не хладнокровный злой дядька, каким его показывают в ТВ-2, он — человек.С братьями Элриками та же история — в отличие от ТВ-2, им не плевать на смерть своей матери, и они не вспоминают о ней всего лишь один-два раза за всё аниме, как в том ТВ-2. Они — живые.Прекрасное исполнение. Как итог — 9/10",1
Удар крови / Strike the Blood,"ГГ настолько туп, что это выбивается даже из законов жанра.Количество неловких ситуаций на единицу времени зашкаливает.Боевка тоже звезд с неба не хватает. Но, я сидел и смотрел, все вышедшие на данный момент 18 серий.(правда грешил перемоткой на скучных местах ,секунд на 5-10 вперед, так гораздо бодрее)Думаю что если не лилось б столько воды, а сериальчик ужали в серий на 10 то только выиграли бы .Ждем финал, если не сольют, то честная 7 от меня будет.",0
На закате человечества / Jinrui wa Suitai Shimashita,"Просмотр оставил крайне приятное впечатление. Большей частью благодаря очень хорошей работы над стилем как изображения, так и сюжета... Но о всем в порядке очередиНачнем с мира и сюжета. Второй сам по себе не существует вне контекста двухсерийных арок, разве что прошлое персонажей подают в конце. Каждый сюжет - сюрреалистичное отображение нашего мира. Мы же помним что феи перенимают от людей все, что им понравится? И нравятся им не всегда правильные вещи - спойлер эксплуатация, автократичные государства, уничтожение природы ради сверхпроизводсвтаа, синтетическая еда . Именно это первое что заставляет задуматься здесь - достаточно прямое отображение того, что мы считаем нормой, хотя ей быть не должно.Но ""Закат"" это не только и не столько сатира на человеческое общество. Это произведение о, как не трудно догадаться, конце человечества которое не за горами, на это и работает мир - символ медленного угасания человечества, не трагичного, вполне закономерного - но все же такого грустного, цепляющегося за свою жизнь и культуру. И не лишившегося человеческого поиска себя и места в жизни - это второй вопрос который ставит ""Закат человечества"" ближе к последним сериям, когда сатира фей отходит на второй планРисовка и общая стилистика мира поддерживают это некоторое светло-грустное настроение. Пастельные теплые тона рядом с упадком общества, бюрократическая машина, которая пытается хоть как-то поддержать старую жизнь и оставить след после смерти людей, но прогибающаяся под своим весом, освещение часто поставлено так будто на дворе и правда закат - красивый, теплый, но это конец. И этим пропитано все - даже опенинг звучит с какой-то светлой грустью под танец и пастельные тона. Но все еще с нотками грусти. Грусти человечества от своего конца, который уже ни для кого не секрет. Но все равно грусть пропитывает все. Правда, к концу дает понять - люди все еще живы и не сильно то поменялись. По духу напоминает ""Поселок"" Кира Булычева - разве что нет надежды на спасение из космосаВ итоге ‐ однозначные 9/10 и рекомендация посмотреть всем, кому не мешает отсутствие экшена и закрученного сюжета. ""Закат"" не про это. Он про нас всех и то, как мы ищем себя, про наше общество и его нелогичность, про... А впрочем решите сами",1
Алиса в Пограничье / Imawa no Kuni no Alice,"Неплохая затравка для манги... Это аниме смесь ""Ганца"" и игр из ""Игры лжецов"" . Смотреть стоит, всем кому интересна данная тема, ибо ""Алиса в Пограничье"" одно из лучших в этом жанре(в дальнейшем, только идти читать мангу... ОВА их мало  ).И так, упомяну то что тут есть( но все это больше к манге)1) Персонажи долго не задерживаются, но пустыми статистами их не назвать, более менее раскрываются.2) Несколько персонажей, от которых будет идти повествование(А не только ГГ)3) Главная особенность это сами игры. Масть - тип игры, Цифра - уровень сложности.  Будете смотреть поймете в чем вся ""соль""Ставлю 7/10 ",1
"Не издевайся, Нагаторо / Ijiranaide, Nagatoro-san","Жаль, что потенциал для хорошей драмы остался не реализован. Можно было раскрыть тему бессмысленной жестокости, которую мы видели в первой сцене; показать, как быдло девочки ради развлечения всё сильнее травят Семпая, ломают ему жизнь и, например, доводят его до самоубийства. Но ближе к концовке аниме всё больше начинает походить на гаремник. Можно было прописать, как сами эти девочки стали такими жестокими. Вызвано ли это стрессом от учёбы, скукой, инфантильностью, издевательствами над ними со стороны кого-то ещё или чем-то иным. Но в итоге даже сама Нагаторо осталась нераскрытой, хотя она - главный персонаж.И даже если закрыть глаза на драму и перейти к теме любви, здесь нет ничего нового. Нагаторо - это глупая цундере. У неё нет никакого хитрого плана относительно того, как её издевательства помогут Семпаю стать сильнее, и научат его противостоять другим издевательствам. Она просто настолько ущербна, что может выражать свои чувства к нему только в виде издевательств над ним. И, повторюсь, даже эту её ущербность не раскрыли.Очередное бессмысленное аниме, сделанное ради денег.",0
